track,artistname,artist_count,releasedyear,releasedmonth,releasedday,spotify_playlists,spotify_charts,streams,apple_playlists,apple_charts,deezer_playlists,deezer_charts,shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,country_mb,tags_lastfm
queencard,(g)i-dle,1,2023,5,15,451,33,96273746,10,126,7,0,148,130,e,minor,82,69,83,3,0,27,5,nan,nan
nxde,(g)i-dle,1,2022,10,17,430,6,170709584,14,116,9,0,11,136,e,minor,73,65,91,4,0,48,18,nan,nan
thought i was playing,"21 savage, gunna",2,2022,1,7,807,0,60680939,3,0,5,0,0,148,c#,major,68,29,73,0,0,7,7,nan,nan
mood (feat. iann dior),"24kgoldn, iann dior",2,2020,7,24,12854,0,1699402402,237,27,636,0,,91,g,minor,70,76,72,22,0,27,4,nan,nan
in da club,50 cent,1,2002,1,1,30427,7,1202722675,235,106,"5,221",1,35,90,f#,minor,90,79,71,26,0,7,37,united states,rap; hip-hop; gangsta rap; hip hop; 50 cent; officially shit; seen live; hiphop; crap; g-unit; pop; the worst thing ever to happen to music; american; new york; shit; gangsta; east coast rap; gay; rnb; east coast; emo; male vocalists; ponyrape; dance; 50cent; eminem; rock; usa; 50; terrible; hip-hop and rap; alternative; 00s; aftermath; overrated; queens; stupid; g unit
take on me,a-ha,1,1984,10,19,44927,17,1479115056,34,0,"5,108",6,0,84,f#,minor,57,86,90,2,0,9,5,nan,nan
"am i dreaming (metro boomin & a$ap rocky, roisee)","a$ap rocky, metro boomin, roisee",3,2023,6,2,727,16,94186466,17,60,28,1,44,90,a,minor,60,13,53,4,0,21,4,nan,nan
obsessed,"abhijay sharma, riar saab",2,2022,9,29,161,6,71007139,10,79,2,0,42,135,f,minor,80,85,74,62,0,8,9,nan,nan
we don't talk about bruno,"adassa, mauro castillo, stephanie beatriz, encanto - cast, rhenzy feliz, diane guerrero, carolina gaitan",7,2021,11,19,2785,0,432719968,95,89,44,0,,206,nan,minor,58,83,45,36,0,11,8,nan,nan
set fire to the rain,adele,1,2011,1,1,14739,43,1163620694,88,112,"2,163",5,519,108,d,minor,61,47,68,0,0,13,3,united kingdom,soul; female vocalists; british; singer-songwriter; indie; pop; adele; jazz; acoustic; female vocalist; uk; alternative; britpop; blues; indie pop; female; chillout; 00s; beautiful voice; rnb; neo-soul; folk; seen live; england; london; piano; mellow; rock; blue-eyed soul; english; love; r&b; beautiful; smooth; jazz-soul; easy listening; sandy leah
easy on me,adele,1,2021,10,14,10195,20,1406111294,258,87,657,22,9,142,f,major,60,13,37,58,0,13,3,united kingdom,soul; female vocalists; british; singer-songwriter; indie; pop; adele; jazz; acoustic; female vocalist; uk; alternative; britpop; blues; indie pop; female; chillout; 00s; beautiful voice; rnb; neo-soul; folk; seen live; england; london; piano; mellow; rock; blue-eyed soul; english; love; r&b; beautiful; smooth; jazz-soul; easy listening; sandy leah
rolling in the deep,adele,1,2010,11,29,35684,6,1472799873,195,125,"6,280",2,78,105,g#,major,73,52,76,13,0,5,3,united kingdom,soul; female vocalists; british; singer-songwriter; indie; pop; adele; jazz; acoustic; female vocalist; uk; alternative; britpop; blues; indie pop; female; chillout; 00s; beautiful voice; rnb; neo-soul; folk; seen live; england; london; piano; mellow; rock; blue-eyed soul; english; love; r&b; beautiful; smooth; jazz-soul; easy listening; sandy leah
oh my god,adele,1,2021,11,19,4431,0,466214729,105,7,199,0,0,88,c#,major,53,55,73,9,0,3,5,united kingdom,soul; female vocalists; british; singer-songwriter; indie; pop; adele; jazz; acoustic; female vocalist; uk; alternative; britpop; blues; indie pop; female; chillout; 00s; beautiful voice; rnb; neo-soul; folk; seen live; england; london; piano; mellow; rock; blue-eyed soul; english; love; r&b; beautiful; smooth; jazz-soul; easy listening; sandy leah
dream on,aerosmith,1,1973,1,5,168,0,838586769,0,0,5,0,0,80,f,minor,39,24,43,39,0,23,3,united states,rock; classic rock; hard rock; 80s; 70s; seen live; aerosmith; american; blues rock; alternative; 90s; heavy metal; metal; alternative rock; glam rock; male vocalists; rock n roll; blues; usa; hair metal; pop; pop rock; rock and roll; classic; oldies
haegeum,agust d,1,2023,4,21,244,12,118810253,6,84,10,2,9,85,g,major,70,83,84,31,0,47,30,nan,nan
mon amour - remix,"aitana, zzoilo",2,2020,9,21,3221,2,578207856,67,13,139,0,40,116,d,major,75,36,76,12,0,10,10,nan,nan
me arrepentï¿,"ak4:20, cris mj, pailita",3,2022,3,30,273,2,118381354,12,2,4,0,0,92,nan,major,86,91,79,29,0,60,16,nan,nan
let me down slowly,alec benjamin,1,2018,5,25,5897,19,1374581173,0,0,885,0,0,150,c#,minor,65,51,55,73,0,14,3,nan,nan
